TNG,1080,AMS,580
TNG,1080,BCN,1218
TNG,1080,BRU,302
TNG,1080,LGW,502
TSF,1539,CMN,1074
AUA,2895,LSP,2844
AUA,2895,MAR,2848
BON,2896,CUR,2897
CUR,2897,AUA,2895
LSP,2844,AUA,2895
MAR,2848,AUA,2895
ASF,2966,DME,4029
ASF,2966,LED,2948
BHK,2980,DME,4029
DME,4029,ASF,2966
DME,4029,BHK,2980
DME,4029,EGO,6156
DME,4029,FEG,6149
DME,4029,KSQ,6153
DME,4029,NMA,6150
DME,4029,NVI,6485
DME,4029,SKD,2981
DME,4029,TIV,1743
EGO,6156,DME,4029
FEG,6149,DME,4029
KSQ,6153,DME,4029
LED,2948,ASF,2966
NMA,6150,DME,4029
NVI,6485,DME,4029
SKD,2981,DME,4029
TIV,1743,DME,4029
ANU,2874,PTP,2881
CAY,2774,FDF,2878
CUR,2897,SDQ,1762
DOM,2877,PTP,2881
DOM,2877,SXM,2899
FDF,2878,CAY,2774
FDF,2878,PTP,2881
FDF,2878,SDQ,1762
FDF,2878,SLU,2893
PTP,2881,ANU,2874
PTP,2881,DOM,2877
PTP,2881,FDF,2878
PTP,2881,SBH,6460
PTP,2881,SDQ,1762
PTP,2881,SFG,2879
PTP,2881,SXM,2899
SBH,6460,PTP,2881
SDQ,1762,PTP,2881
SDQ,1762,SXM,2899
SFG,2879,PTP,2881
SLU,2893,FDF,2878
SXM,2899,DOM,2877
SXM,2899,PTP,2881
SXM,2899,SDQ,1762
BHY,6351,XIY,3379
CAN,3370,CKG,3393
CAN,3370,CTU,3395
CAN,3370,SPN,2244
CGO,3375,CGQ,4380
CGO,3375,CKG,3393
CGO,3375,CTU,3395
CGO,3375,HGH,3386
CGO,3375,HRB,3400
CGO,3375,KMG,3382
CGO,3375,URC,3399
CGQ,4380,CGO,3375
CGQ,4380,NKG,3388
CGQ,4380,TNA,4108
CGQ,4380,TSN,3368
CKG,3393,CAN,3370
CKG,3393,CGO,3375
CKG,3393,CSX,3371
CKG,3393,CTU,3395
CKG,3393,CZX,4109
CKG,3393,DLC,3404
CKG,3393,DYG,6353
CKG,3393,HAK,4120
CKG,3393,HGH,3386
CKG,3393,HKT,3179
CKG,3393,INC,4085
CKG,3393,KHN,3384
CKG,3393,KMG,3382
CKG,3393,LHW,3378
CKG,3393,LJG,4033
CKG,3393,LXA,4097
CKG,3393,NGB,3387
CKG,3393,NKG,3388
CKG,3393,NNG,3373
CKG,3393,PEK,3364
CKG,3393,PVG,3406
CKG,3393,PZI,6435
CKG,3393,SWA,4302
CKG,3393,SYD,3361
CKG,3393,SYX,4030
CKG,3393,SZX,3374
CKG,3393,TNA,4108
CKG,3393,TSA,2275
CKG,3393,TSN,3368
CKG,3393,TYN,3369
CKG,3393,URC,3399
CKG,3393,WUH,3376
CKG,3393,WUX,6390
